Station,Latitude,Longitude,Elevation
M23K,61.7929,-147.7262,583.0
M26K,62.4013,-142.9963,888.0
M27K,62.3579,-141.878,1536.0
MCAR,61.3836,-143.024,447.0
MCK,63.7318,-148.937302,618.0
MDM,64.9602,-148.2319,631.0
MESA,60.1782,-141.949799,1907.0
MLY,65.030403,-150.744202,812.0
MS01,61.5802,-149.4946,109.0
MS02,61.5904,-149.7689,74.0
MS03,61.6091,-149.305,112.0
N15K,60.1686,-160.0921,449.0
N18K,60.6801,-155.8897,572.0
N19K,60.8132,-154.4838,1144.0
NEA2,64.5928,-149.0694,450.0
NICH,60.2357,-143.9713,485.0
NIKH,52.972099,-168.854996,199.0
NIKI,60.6726,-151.3523,41.0
O14K,59.2533,-161.2638,129.0
O18K,59.8542,-155.208,544.0
O19K,60.1952,-154.3201,96.0
O20K,60.0815,-152.624,915.0
P08K,56.6011,-169.5484,36.0
P16K,59.0314,-157.9906,85.9
P17K,59.1953,-156.4394,91.0
P23K,59.9979,-147.4031,287.0
PAX,62.969898,-145.469894,1150.0
PIN,60.095901,-140.252502,975.0
PNL,59.667,-139.401398,586.0
POKR,65.1171,-147.4335,501.0
PPD,65.517403,-145.524597,1505.0
PPLA,62.896198,-152.189407,1519.0
PS01,70.258,-148.6141,9.0
PS04,68.4215,-149.3568,849.0
PS05,66.8133,-150.6646,327.0
PS06,65.8545,-149.7369,280.0
PS07,65.3106,-148.2791,289.0
PS08,64.5422,-146.8221,320.0
PS09,63.9299,-145.7682,468.0
PS10,63.4229,-145.7684,738.0
PS11,62.0789,-145.4751,375.0
PS12,61.4749,-145.1458,562.7
PTPK,61.187099,-142.467194,1892.6
PWL,60.858398,-148.333405,550.0
Q19K,58.9287,-153.6446,631.0
Q23K,59.4296,-146.3399,46.0
R16K,57.5673,-157.5742,38.0
R18K,57.5665,-154.4524,39.0
R32K,58.2747,-134.5181,386.0
RAG,60.3863,-144.6773,752.0
RC01,61.088902,-149.738998,390.0
RDOG,68.0541,-162.908005,423.0
RIDG,63.7399,-144.8462,871.0
RKAV,60.2994,-141.347794,1647.0
RND,63.405602,-148.860199,993.6
S15K,56.3058,-158.54,17.0
S19K,57.2225,-153.2875,47.0
S31K,57.9616,-136.232,34.0
S32K,57.4688,-134.5763,26.0
SAMH,60.129398,-140.782806,1140.0
SAW,61.806999,-148.331604,781.0
SCM,61.832001,-147.328995,1050.0
SCRK,63.976101,-143.990494,1375.0
SII,56.5593,-154.1842,492.0
SKN,61.98,-151.5317,581.0
SLK,60.5117,-150.223099,655.0
SPIA,57.176601,-170.247803,71.0
SSN,61.4636,-150.7467,1306.0
SSP,60.1791,-142.8388,472.0
SUCK,60.071999,-143.779007,467.0
SWD,60.1043,-149.4526,77.0
TABL,60.439899,-141.144302,2050.0
TAPE,64.892845,-147.789047,320.0
TGL,60.754101,-142.829193,1266.4
TNA,65.559799,-167.926697,74.0
TOLK,68.6408,-149.5724,760.0
TRF,63.4501,-150.2892,1709.9
U33K,56.1146,-133.121,11.0
UNV,53.8452,-166.504501,65.0
V35K,55.3279,-131.615,64.0
VMT,61.083,-146.368,97.0
VRDI,61.227501,-143.454498,1909.4
WAT1,62.8295,-148.5509,722.0
WAT6,62.580799,-147.740005,1681.0
WAT7,62.8331,-148.8476,1232.0
WAX,60.448002,-142.852905,1003.0
WRH,64.4716,-148.0918,329.0
YAH,60.358299,-141.751007,2125.0
YAKA,59.512299,-139.671997,8.0
