,Station,Latitude,Longitude,Elevation
51,DAM2,59.755299,-150.855499,363.0
52,DCPH,59.090599,-138.215393,674.0
53,DHY,63.075298,-147.3759,1611.0
54,DIV,61.1292,-145.7749,941.4
55,DOT,63.648201,-144.069702,670.0
56,E18K,67.4213,-160.6027,297.0
57,E19K,67.4572,-157.2316,441.0
58,E21K,68.4414,-153.9721,653.0
59,E22K,68.1343,-151.8132,772.0
60,E24K,68.0748,-148.4868,847.0
61,E25K,68.1207,-145.568,652.0
62,E27K,68.1861,-141.5951,654.0
63,ER01,61.3237,-149.5412,198.0
64,ER02,61.3166,-149.5721,104.0
65,ER03,61.3145,-149.5466,151.0
66,ER04,61.3453,-149.5476,119.0
67,EYAK,60.548698,-145.75,133.9
68,F15K,65.7077,-164.6483,388.0
69,F18K,66.6001,-159.6514,27.0
70,F20K,67.0486,-155.7251,136.0
71,F21K,67.2221,-153.483,597.0
72,FA01,64.834801,-147.937103,263.0
73,FA02,64.845596,-148.009003,194.0
74,FA05,64.839302,-147.751602,135.0
75,FA06,64.8461,-147.695694,136.0
76,FA07,64.826698,-147.694595,135.0
77,FA09,64.8377,-147.8172,135.0
78,FA10,64.818604,-147.778397,133.0
79,FA11,64.8536,-147.8382,137.0
80,FA12,64.826897,-147.868393,436.0
81,FALS,54.8564,-163.417603,60.6
82,FID,60.727699,-146.598694,500.0
83,FIRE,61.142601,-150.2164,62.0
84,FYU,66.565697,-145.234207,137.0
85,G17K,65.5011,-160.6514,338.0
86,G19K,66.1434,-157.087,391.0
87,G23K,66.7108,-150.0239,746.0
88,G24K,66.7004,-147.4754,503.0
89,G27K,66.8088,-141.6549,686.0
90,GAMB,63.775799,-171.703598,5.0
91,GCSA,64.746101,-156.879196,45.0
92,GHO,61.771,-148.926,1032.0
93,GIB,64.859802,-147.849106,180.0
94,GLB,61.4417,-143.8123,854.9
95,GLI,60.8792,-147.095901,430.0
96,GOAT,60.580502,-144.729202,895.5
97,GREN,63.9738,-145.6949,414.0
98,GRES,63.9451,-145.7281,445.0
99,GRIN,60.2805,-143.321,625.0
100,GRNC,60.731499,-141.755798,2116.0
101,H16K,64.6379,-162.239,216.0
102,H17K,64.937,-159.9126,396.0
103,H20K,65.4924,-154.8808,514.0
104,H21K,65.6571,-152.805,520.0
105,H22K,65.8937,-151.3773,561.0
106,H23K,65.8251,-149.5432,617.0
107,H24K,65.8371,-147.8781,814.0
108,HARP,62.3987,-145.1568,581.0
109,HDA,64.4091,-146.9482,437.0
110,HIN,60.396,-146.503494,622.9
111,HMT,60.3351,-144.2623,629.0
112,HOM,59.6572,-151.651505,221.0
113,I21K,65.18,-151.9822,248.0
114,I23K,65.1479,-149.3603,149.0
115,I26K,65.3064,-143.1541,338.0
116,I27K,65.6035,-141.6153,874.0
117,ISLE,60.6024,-142.3406,1425.0
118,J17K,63.3965,-159.0777,323.0
119,J19K,63.994,-155.6214,389.0
120,J20K,64.1767,-154.1467,314.0
121,J25K,64.613,-145.3697,949.0
122,J26L,64.5012,-143.5636,1144.0
123,JIS,58.275799,-134.384796,10.0
124,K13K,61.9331,-164.6555,204.2
125,K15K,62.2938,-161.5308,346.0
126,K203,61.2201,-149.7453,79.0
127,K204,61.1758,-150.011505,30.0
128,K205,61.199402,-149.916306,51.0
129,K208,61.1763,-149.9216,20.0
130,K209,61.184601,-149.747192,96.0
131,K20K,63.3569,-154.07,548.0
132,K210,61.1292,-149.931,17.0
133,K211,61.149101,-149.857803,34.0
134,K212,61.155602,-149.793396,70.0
135,K213,61.112801,-149.859497,51.0
136,K214,61.123501,-149.7677,175.0
137,K215,61.086201,-149.752106,284.0
138,K216,61.098099,-149.686707,721.0
139,K217,61.396,-149.515503,72.0
140,K218,61.592602,-149.133194,87.0
141,K220,61.153999,-150.055206,68.0
142,K221,61.1525,-149.951202,38.0
143,K222,61.087601,-149.836594,39.0
144,K223,61.233799,-149.867493,43.0
145,K24K,63.8036,-145.7784,724.0
146,K27K,64.0292,-142.0758,732.0
147,KAI,59.9268,-144.418793,316.0
148,KHIT,60.442699,-143.251007,1101.0
149,KIAG,60.9231,-142.360504,1752.2
150,KLU,61.4924,-145.9227,1047.1
151,KNK,61.4131,-148.4585,598.0
152,KTH,63.5527,-150.923294,1172.0
153,L14K,61.3416,-162.6829,41.0
154,L16K,61.7105,-159.4747,227.0
155,L17K,62.1344,-158.2972,338.0
156,L18K,62.2195,-156.6886,329.0
157,L19K,62.1816,-154.8543,650.0
158,L20K,62.4787,-153.8798,673.0
159,L22K,62.5258,-150.7703,817.0
160,L26K,63.0254,-143.3478,650.0
161,LOGN,60.824001,-141.004807,1663.1
162,M11K,60.3849,-166.2011,3.0
163,M14K,60.7515,-161.96,19.0
164,M16K,61.0224,-158.9593,394.0
165,M19K,61.9037,-154.3915,521.0
166,M20K,61.8823,-153.1318,1107.0
167,M23K,61.7929,-147.7262,583.0
168,M26K,62.4013,-142.9963,888.0
169,M27K,62.3579,-141.878,1536.0
170,MCAR,61.3836,-143.024,447.0
171,MCK,63.7318,-148.937302,618.0
172,MDM,64.9602,-148.2319,631.0
173,MESA,60.1782,-141.949799,1907.0
174,MLY,65.030403,-150.744202,812.0
175,MS01,61.5802,-149.4946,109.0
176,MS02,61.5904,-149.7689,74.0
177,MS03,61.6091,-149.305,112.0
178,N15K,60.1686,-160.0921,449.0
179,N18K,60.6801,-155.8897,572.0
180,N19K,60.8132,-154.4838,1144.0
181,NEA2,64.5928,-149.0694,450.0
182,NICH,60.2357,-143.9713,485.0
183,NIKH,52.972099,-168.854996,199.0
184,NIKI,60.6726,-151.3523,41.0
185,O14K,59.2533,-161.2638,129.0
186,O18K,59.8542,-155.208,544.0
187,O19K,60.1952,-154.3201,96.0
188,O20K,60.0815,-152.624,915.0
189,P08K,56.6011,-169.5484,36.0
190,P16K,59.0314,-157.9906,85.9
191,P17K,59.1953,-156.4394,91.0
192,P23K,59.9979,-147.4031,287.0
193,PAX,62.969898,-145.469894,1150.0
194,PIN,60.095901,-140.252502,975.0
195,PNL,59.667,-139.401398,586.0
196,POKR,65.1171,-147.4335,501.0
197,PPD,65.517403,-145.524597,1505.0
198,PPLA,62.896198,-152.189407,1519.0
199,PS01,70.258,-148.6141,9.0
200,PS04,68.4215,-149.3568,849.0
201,PS05,66.8133,-150.6646,327.0
202,PS06,65.8545,-149.7369,280.0
203,PS07,65.3106,-148.2791,289.0
204,PS08,64.5422,-146.8221,320.0
205,PS09,63.9299,-145.7682,468.0
206,PS10,63.4229,-145.7684,738.0
207,PS11,62.0789,-145.4751,375.0
208,PS12,61.4749,-145.1458,562.7
209,PTPK,61.187099,-142.467194,1892.6
210,PWL,60.858398,-148.333405,550.0
211,Q19K,58.9287,-153.6446,631.0
212,Q23K,59.4296,-146.3399,46.0
213,R16K,57.5673,-157.5742,38.0
214,R18K,57.5665,-154.4524,39.0
215,R32K,58.2747,-134.5181,386.0
216,RAG,60.3863,-144.6773,752.0
217,RC01,61.088902,-149.738998,390.0
218,RDOG,68.0541,-162.908005,423.0
219,RIDG,63.7399,-144.8462,871.0
220,RKAV,60.2994,-141.347794,1647.0
221,RND,63.405602,-148.860199,993.6
222,S15K,56.3058,-158.54,17.0
223,S19K,57.2225,-153.2875,47.0
224,S31K,57.9616,-136.232,34.0
225,S32K,57.4688,-134.5763,26.0
226,SAMH,60.129398,-140.782806,1140.0
227,SAW,61.806999,-148.331604,781.0
228,SCM,61.832001,-147.328995,1050.0
229,SCRK,63.976101,-143.990494,1375.0
230,SII,56.5593,-154.1842,492.0
231,SKN,61.98,-151.5317,581.0
232,SLK,60.5117,-150.223099,655.0
233,SPIA,57.176601,-170.247803,71.0
234,SSN,61.4636,-150.7467,1306.0
235,SSP,60.1791,-142.8388,472.0
236,SUCK,60.071999,-143.779007,467.0
237,SWD,60.1043,-149.4526,77.0
238,TABL,60.439899,-141.144302,2050.0
239,TAPE,64.892845,-147.789047,320.0
240,TGL,60.754101,-142.829193,1266.4
241,TNA,65.559799,-167.926697,74.0
242,TOLK,68.6408,-149.5724,760.0
243,TRF,63.4501,-150.2892,1709.9
244,U33K,56.1146,-133.121,11.0
245,UNV,53.8452,-166.504501,65.0
246,V35K,55.3279,-131.615,64.0
247,VMT,61.083,-146.368,97.0
248,VRDI,61.227501,-143.454498,1909.4
249,WAT1,62.8295,-148.5509,722.0
250,WAT6,62.580799,-147.740005,1681.0
251,WAT7,62.8331,-148.8476,1232.0
252,WAX,60.448002,-142.852905,1003.0
253,WRH,64.4716,-148.0918,329.0
254,YAH,60.358299,-141.751007,2125.0
255,YAKA,59.512299,-139.671997,8.0
